rat,x1,x2,x3,x4,x5,treatment
1,114,151,188,214,253,1
2,140,189,229,258,303,1
3,133,176,220,252,282,1
4,132,168,208,234,270,1
5,119,155,186,207,233,1
6,155,190,220,243,262,1
7,117,146,188,214,245,1
8,129,160,199,228,261,1
9,148,192,227,247,278,1
10,144,183,220,245,278,1
11,117,145,177,210,245,1
12,156,208,242,278,319,1
13,108,137,164,189,221,1
14,140,178,210,235,265,1
15,139,180,221,256,289,1
16,129,170,209,251,289,1
17,122,154,191,226,254,1
18,134,178,212,247,276,1
19,131,169,206,242,278,1
20,119,155,190,225,264,1
21,140,178,220,249,285,1
22,136,167,204,232,271,1
23,148,184,225,250,284,1
24,145,178,219,252,290,1
25,146,175,212,233,266,1
26,118,154,178,203,226,1
27,147,190,221,259,286,1
28,143,182,210,240,264,1
29,148,197,235,279,309,1
30,136,177,223,256,287,1
